nconst primaryName birthYear deathYear primaryProfession knownForTitles
1000000014 198767408 2126297961 2126297961 5871712 1073983452
1000000100 864428146 2126297961 2126297961 641601868 1693146637
1000000247 273352267 2126297961 2126297961 641601868 2100962630
1000000252 963408544 2126297961 2126297961 1897236228 1645023271
100000051 14664344 384348733 1540773839 1770517546 1159559281
1000000984 748200456 2126297961 2126297961 90579072 240862010
1000001010 23110952 2126297961 2126297961 1190972371 1695121361
1000001096 818626445 2126297961 2126297961 90579072 2126297961
1000001149 371113514 2126297961 2126297961 1190972371 424388759
1000001201 1024071551 2126297961 2126297961 318302405 649564026
1000001210 854711842 2126297961 2126297961 1181129578 2126297961
10000012 576825614 2126297961 2126297961 90579072 1907365008
1000001295 1639767986 2126297961 2126297961 613528053 8388953
1000001448 974985767 2126297961 2126297961 1897236228 98228150
1000001672 1148419724 2126297961 2126297961 48867219 600941969
1000001824 501821373 2126297961 2126297961 892455105 1085392580
1000001896 1281987499 2126297961 2126297961 641601868 1434145043
1000001904 1766921566 2126297961 2126297961 1190972371 2126297961
1000001925 274999409 2126297961 2126297961 48867219 2126297961
1000002014 1880582081 2126297961 2126297961 778483523 1699611350
1000002117 911956974 2126297961 2126297961 36366385 264983156
1000002184 433775492 2126297961 2126297961 132809729 811234168
1000002221 297346459 2126297961 2126297961 556859920 1112634628
1000002515 1280464026 2126297961 2126297961 568837244 720298046
1000002702 1587603812 2126297961 2126297961 318302405 1020024885
1000002893 1720884453 2126297961 2126297961 105119284 753175555
1000003022 96400844 2126297961 2126297961 48867219 2126297961
1000003366 463931403 2126297961 2126297961 629373771 1139972468
1000003556 2081300238 2126297961 2126297961 318302405 984254929
1000003589 749971387 2126297961 2126297961 641601868 735084469
1000003655 1770406469 2126297961 570738467 1061676721 1077286088
1000003668 1208613489 2126297961 2126297961 641601868 1982889855
1000003719 933181539 2126297961 2126297961 1190972371 1940574926
1000003931 700290879 2126297961 2126297961 48867219 2126297961
100000405 265725806 2126297961 2126297961 641601868 411488169
1000004204 1058751071 2126297961 2126297961 48867219 2126297961
1000004219 1318334326 2126297961 2126297961 111625828 427577265
1000004409 300421163 2126297961 2126297961 1897236228 1102137354
1000004476 447630873 38337041 2126297961 48867219 1256654217
1000004656 164358356 2126297961 2126297961 1997066297 1734941405
1000004689 40326181 2126297961 2126297961 829581343 1083519247
1000004718 1222697130 2126297961 2126297961 1190972371 626626065
1000004986 1432212269 2126297961 2126297961 321146073 925126523
1000005434 711926407 2126297961 2126297961 90579072 2126297961
100000546 1869004719 2126297961 2126297961 641601868 1474125299
1000005538 869198485 2126297961 2126297961 48867219 2126297961
1000005545 1733603420 2126297961 2126297961 2094793598 333585519
1000005598 1726909761 2126297961 2126297961 48867219 2106352489
1000005953 1848020925 2126297961 2126297961 2082222882 1171995550
1000006031 1321102890 2126297961 2126297961 641601868 1190259857
1000006077 1564538787 2126297961 2126297961 48867219 751865927
1000006103 2002991044 2126297961 2126297961 641601868 305547476
1000006143 1377295792 2126297961 2126297961 335535053 140485281
100000656 140432498 2126297961 2126297961 450826918 1172918446
1000007093 1757175176 2126297961 2126297961 48867219 2126297961
100000721 1724283174 2126297961 2126297961 832306944 1883735043
1000007510 1857744976 2126297961 2126297961 1651663233 1455639201
1000007515 260553249 2126297961 2126297961 1283459383 687901614
100000781 1017128342 2126297961 2126297961 90579072 2126297961
1000007963 256626164 2126297961 2126297961 1651663233 640445088
