tconst directors writers
1000000128 1655268360 547761900
1000000183 1655268360 1655268360
1000000247 1655268360 1655268360
1000000551 1655268360 1655268360
1000000659 201067905 1213672920
1000000691 121865201 785984964
1000001023 729381811 1655268360
1000001448 1878489972 741573415
1000001544 1036290639 1655268360
1000001680 2020536282 2020536282
1000001889 1655268360 469767854
100000222 1655268360 1655268360
1000002312 1655268360 1655268360
100000270 1988120591 1986708541
1000003040 1655268360 1655268360
1000003884 1118600896 546041720
1000003938 1066305210 430309441
1000004292 995840566 366683971
1000004455 1655268360 1791577291
100000451 1655268360 1655268360
1000004541 286078090 1655268360
1000004721 1655268360 1655268360
1000004736 1965122725 1655268360
1000004739 1710807506 1655268360
1000004891 1655268360 1655268360
1000005109 1655268360 1655268360
100000551 1655268360 1655268360
1000005556 1675974805 1026938846
1000007335 1655268360 1655268360
1000007366 152156033 1867640904
1000007607 352887918 1655268360
1000007765 187720108 204191461
1000007828 1677810732 1677810732
1000008084 1306978636 229956105
1000008603 1655268360 2003020913
1000008656 1655268360 1655268360
1000009292 1655268360 1655268360
1000009905 971243366 971243366
1000009930 1655268360 1655268360
1000009964 1243078943 1655268360
1000010027 1655268360 1655268360
1000010042 1655268360 1655268360
1000010092 1655268360 1655268360
1000010384 1655268360 1655268360
1000011503 445159791 1835015332
1000011747 1655268360 2126006244
100001235 1814957491 1814957491
1000012719 1923103799 1923103799
1000012997 1468920403 571228516
1000013067 83789977 83789977
1000013270 1655268360 1655268360
1000013575 1655268360 1655268360
1000013618 1126974356 438864645
1000013635 1655268360 1655268360
1000013757 1410258912 1655268360
1000013932 590731283 590731283
1000013980 1655268360 1655268360
100001407 1655268360 1655268360
1000014154 320274432 1655268360
1000014160 291544626 1655268360
100001437 1832093606 1655268360
1000014653 1655268360 1655268360
1000014760 1655268360 1655268360
1000015159 2140246178 1060385204
1000015187 1655268360 1655268360
1000015377 1867964954 1867964954
1000015614 9306516 9306516
1000015725 1598457848 1830320375
1000015775 1655268360 1655268360
1000015833 136374787 1986734484
1000016147 395693478 1652179770
1000016259 1019612718 1655268360
1000016357 1655268360 1655268360
100001657 1217607093 2018693629
1000016989 749269182 1655268360
1000017 1638522197 767998389
1000017614 1472109135 1655268360
1000017914 1506509981 244468722
1000018105 1655268360 1655268360
1000018304 1655268360 1655268360
1000018320 1007261721 538914966
1000018373 1655268360 1655268360
1000019227 1655268360 1655268360
1000019259 1945970443 1655268360
1000019330 748279290 611583343
1000019508 1522259349 172835837
1000019713 1655268360 1655268360
1000019743 1800965682 1836271079
1000019983 195635760 97309576
1000019989 1655268360 1655268360
1000020479 1655268360 1655268360
1000020763 1814643417 1655268360
1000020876 924114652 839638011
1000020950 1878133823 1395551833
1000021106 2022679559 1353786127
100002122 460188518 1176052362
1000021242 393870938 38156260
100002183 1655268360 1655268360
1000022359 1794750730 1724832703
1000022567 1655268360 1655268360
100002265 2063538713 1655268360
1000022670 79278400 79278400
1000022809 1655268360 1655268360
1000023029 1655268360 1655268360
1000023 192973141 2059343054
10000234 1675345340 1612044214
1000023435 926306086 1655268360
1000023621 1849182012 1655268360
1000023673 2015112765 1503765291
100002371 1655268360 1655268360
1000024141 1919993450 1655268360
1000024168 1738776754 1368055945
1000024364 1479222234 1073727512
1000024378 1655268360 1490036125
1000024688 1655268360 313501776
100002476 1655268360 1655268360
1000024843 1655268360 1201196245
1000024975 1655268360 1655268360
1000025142 1655268360 14335831
1000025230 190181429 149492626
1000025705 1655268360 1655268360
1000025898 1655268360 1661428499
1000026036 1752548532 1837215076
1000026276 1266375409 1655268360
1000026297 1366094215 1366094215
1000026380 1676389459 166530715
100002639 1655268360 1655268360
1000026622 741278191 1655268360
1000026851 1655268360 1655268360
1000027420 1188185340 817061335
1000027794 1655268360 118961134
1000027825 1562486906 1562486906
1000028133 493396350 2135415864
1000028347 1655268360 1626157589
1000028494 1655268360 1655268360
1000028703 1297782784 1655268360
1000028759 1655268360 1018810164
100002895 1139157842 1929489374
1000029076 1968292481 1655268360
1000029150 1655268360 324196036
1000029471 824470312 1655268360
1000029828 1655268360 1655268360
1000030650 902720983 1688297203
1000030660 1655268360 1655268360
1000030811 1537615286 1068218979
1000030820 1655268360 1655268360
1000031318 1655268360 1655268360
1000031320 1655268360 264319342
1000031611 1332947973 863222203
