tconst parentTconst seasonNumber episodeNumber
1000000257 1242635925 1296460517 1076155389
1000000349 1571951647 510687177 1574495735
1000000566 1995762215 1935597282 2109872842
1000000646 913910478 2093227591 2093227591
100000075 419117460 1935597282 195094073
1000000916 964225052 1935597282 510687177
1000001293 1683888121 1969069028 651461093
100000214 1377510212 1935597282 1559075880
1000002660 1062675550 1906157682 709462510
1000003119 1847049881 1906157682 1906157682
1000003486 249403888 1935597282 588807196
1000003965 1063159582 1935597282 638692731
1000004418 724923311 1935597282 5741896
100000452 443225004 1935597282 1210269251
1000005089 732930297 1935597282 644545014
1000005135 1035768097 2093227591 2093227591
1000005424 1442351980 1076155389 344075432
1000005528 135315099 1935597282 1935597282
1000005877 1598369127 1906157682 1952829654
1000005902 59050950 1935597282 2135625740
1000005927 1085063755 510687177 1906157682
1000005986 1680057857 2093227591 2093227591
1000006269 210940022 1935597282 344075432
100000640 1067663412 1935597282 106183564
1000006718 1058932406 2093227591 2093227591
1000006757 1662665920 1969069028 24555272
100000701 433668423 1935597282 344075432
100000709 1774067090 1935597282 914181773
1000007398 167383945 2093227591 2093227591
1000007654 282719115 1935597282 169974855
1000007833 1032939448 1367180859 644545014
1000007877 1018037286 1935597282 277511426
100000802 1247866749 1935597282 1949228934
1000008026 2018548710 1125156736 342800571
1000008212 1677851395 1935597282 305479396
1000008637 757786996 1076155389 1296460517
100000885 552450675 1935597282 1949228934
1000008899 1318631122 1935597282 1927906864
1000009118 1943250708 1622766299 1296460517
1000009936 1039210827 2093227591 2093227591
1000010031 716312839 1935597282 1601570710
1000010230 1556465134 1906157682 1842067588
100001127 974587065 1935597282 1733339101
100001128 155318339 1296460517 344075432
1000011344 1095070654 2093227591 2093227591
1000011974 1765899146 1076155389 1241497435
1000012187 586854301 1935597282 1945229834
1000012432 320340271 1296460517 1076155389
1000012526 190629564 2093227591 2093227591
1000012839 560112918 510687177 482506603
1000012873 1913606881 1935597282 1906157682
1000013196 1988353719 1935597282 195094073
1000013269 1289119873 1935597282 2062319702
1000013774 1820707884 510687177 1906157682
1000014048 2120702057 1935597282 1906157682
1000014118 460987058 1935597282 1594283030
1000014331 938090663 2093227591 2093227591
1000014726 917935108 1906157682 1906157682
1000014867 1878449923 2093227591 2093227591
1000015085 735745386 1935597282 513439921
1000015129 1134944233 1935597282 1522820320
1000015169 1330909286 2093227591 2093227591
1000015267 1522450784 2093227591 2093227591
1000015970 1502318188 1935597282 344075432
100001652 1318631122 1935597282 1039310900
1000016659 1046472990 1935597282 532725913
1000016753 9618304 1935597282 1059162631
1000016840 829230909 1935597282 1396074459
1000017011 262766045 2093227591 2093227591
1000017578 729975538 1906157682 195094073
1000017634 1204769692 1935597282 1835948449
1000017743 723432652 2093227591 2093227591
1000018212 1103272752 1906157682 914181773
1000018248 1086122665 1935597282 1594283030
100001890 1094831054 644545014 1323704328
1000019018 2054371997 1906157682 1175448239
100001904 844588985 1945353820 1574495735
1000019327 1421643917 1935597282 644545014
1000019327 341866989 2093227591 2093227591
1000019515 1449497855 1076155389 1969069028
1000019543 1263031788 1935597282 1945353820
1000019659 1722214822 1935597282 734565340
100001968 738986664 2093227591 2093227591
1000020069 130258603 1935597282 1324433465
1000020213 389604201 1935597282 1776595210
1000020494 1838850592 2093227591 2093227591
1000020933 324335562 2093227591 2093227591
1000020976 746901739 1935597282 250509367
1000021285 975198824 2093227591 2093227591
1000021564 1154689637 1935597282 1703541195
1000021592 2133378275 2093227591 2093227591
1000021848 314841669 1935597282 1835948449
1000021974 1877348268 1935597282 1296460517
100002221 1059309316 1935597282 755116736
1000022650 172854876 1935597282 1935597282
1000022840 632057848 2093227591 2093227591
1000022965 1941521475 1906157682 1746466863
1000023338 71190785 1935597282 2003533324
1000023464 2016740444 1906157682 277511426
1000023636 400553140 644545014 2146548291
1000023860 975976366 1935597282 1888904352
1000023872 2121954164 1935597282 1906157682
1000023960 1339397295 1935597282 1786703254
1000024215 345141200 2093227591 2093227591
1000024256 364821548 1935597282 644545014
1000024328 395485542 2093227591 2093227591
1000024384 1698537205 2093227591 2093227591
1000024715 614876948 1935597282 1868758124
1000024749 1899953008 644545014 1906157682
1000024956 543844788 1935597282 1367180859
1000024987 1199152306 1906157682 1935597282
1000025195 784116661 1367180859 1745105171
1000025229 1572319924 1945353820 1935597282
1000025560 1427759942 1935597282 1076155389
1000025980 2147056762 1367180859 2111595016
1000026139 1456064177 1906157682 560826481
1000026186 1108586286 2093227591 2093227591
10000262 724923311 2093227591 2093227591
1000026458 377175779 1935597282 1952829654
1000026580 897726162 1906157682 651461093
1000026581 899390137 1906157682 914181773
1000027200 2101989875 1746466863 1277277652
1000027459 1940615341 1906157682 195094073
1000027613 1013166677 1906157682 1120136902
1000027729 385063053 1296460517 1935597282
1000027888 2072781443 1935597282 1794865069
1000028144 1261883956 1935597282 1296460517
1000028252 1774694929 2093227591 2093227591
1000028532 129143718 1935597282 1076155389
1000028824 878828910 344075432 344075432
1000029002 650130060 914181773 591023053
1000029377 1384383650 510687177 1324024435
1000029591 67772295 2093227591 2093227591
1000029999 756830097 1906157682 1076155389
1000030034 1243573505 1935597282 1935597282
100003005 1776904175 1296460517 995917468
1000030189 2142328441 1935597282 1935597282
1000030459 945473597 1906157682 427778729
1000030593 1156472956 1906157682 172797324
1000030670 1921949660 2093227591 2093227591
100003068 83459340 1935597282 2052409584
1000030866 812159832 1935597282 2075431989
1000031045 1527636124 2093227591 2093227591
1000031051 381254808 344075432 709462510
1000031226 574002962 1746466863 638692731
1000031292 1590741174 2093227591 2093227591
1000031352 1053171897 1935597282 1884490263
