tconst averageRating numVotes
100000394 1836883491 2074509339
1000004452 61197209 736639923
1000005295 1231609043 1381179693
100001100 220645176 88220196
1000012809 1121467465 2124332529
1000016414 296106993 2006574170
1000021471 61197209 1426033548
1000022528 1242264039 730294304
1000022678 1890396111 2009547602
1000022831 55896884 507536789
1000024154 1717409078 999124911
1000025459 55896884 1638564418
100002680 222128607 617198026
100002878 1416479967 1738205456
100003009 1390020420 2103533408
1000030945 1121467465 1427821762
1000031259 220645176 804264386
100003242 565257480 1738205456
1000033969 1943046654 1738205456
1000035903 2124199761 2009547602
1000035908 1266359958 1652608697
1000039841 1836883491 1440893512
1000041794 1390020420 1014880320
1000042063 1416479967 2006574170
1000045457 1662820050 1566850949
10000455 1566751959 1580242595
1000045587 1999382690 1324587081
1000046154 61197209 886944907
1000048200 508765189 534699180
100005026 719225004 853757737
1000054206 1101107360 1833922075
1000056252 1582842673 1427821762
1000056585 1416479967 558296571
1000057104 565257480 1539512279
1000059365 1807934382 504345020
1000059918 1662820050 1479557939
100006145 1943046654 7601776
1000062032 2082658893 1437125105
1000062863 1834528096 1479557939
1000063369 648300748 534699180
1000063489 1380935213 730294304
1000065167 1662820050 1739056251
1000065677 599222534 1111555662
1000065728 1662820050 1387846562
1000066762 1329013187 1516291128
1000069548 1834528096 730294304
100007080 1329013187 736639923
1000071792 1099499392 886944907
1000073274 1513502347 1516291128
1000077721 1378392855 705629563
1000078390 220645176 648711808
1000080366 1380935213 1426033548
1000081776 1807934382 228005038
100008310 762332187 142910878
1000083682 1582842673 1426033548
1000085650 1606851054 736639923
1000087009 1836883491 1479557939
1000087248 1510676963 107154374
1000089788 748886265 2009547602
1000092747 748886265 1198282452
1000093292 489106386 1994889731
100009361 1242264039 1427821762
1000096717 1390020420 534699180
1000098692 1390020420 534699180
1000099911 55896884 1131774836
1000100900 508765189 796112312
1000101327 1101107360 471690383
1000102232 492306891 1782156887
1000105348 1836883491 189626870
1000107142 55896884 365684492
1000108963 648300748 506985877
1000109386 1566751959 27592434
1000111143 1942876833 808142553
1000112034 1397408430 931502088
1000113619 61197209 808142553
1000113829 1834528096 1967417949
1000115688 296106993 1192558012
1000119934 55896884 2103533408
1000119951 1717409078 730294304
1000120204 886594069 1767684553
1000120593 1329013187 1984377667
10001215 1390020420 1115861663
1000127909 222128607 1111555662
1000128479 508765189 1307258118
1000130299 1606851054 1967417949
1000131004 1231609043 1771802022
1000135110 1662820050 750775706
1000135274 1841259509 663757487
1000136113 1390020420 365684492
1000136753 1606851054 88220196
100013936 61197209 1967417949
1000143375 508765189 1237687020
1000145404 1807934382 1443425320
100014579 558587328 761171679
1000146230 296106993 1111555662
1000147061 648300748 1479557939
1000152395 1942876833 1427821762
1000154489 220645176 1479552370
1000155292 748886265 1771802022
1000155356 492306891 1662499688
1000158881 222128607 730294304
1000159240 51475912 88220196
1000159315 296106993 677004469
1000163811 1378392855 967911289
1000164257 222128607 1738205456
1000165752 61197209 1427821762
1000167114 1116697199 169502973
1000168932 1566751959 1427821762
1000169113 1845831679 1739056251
1000171485 1836883491 2009547602
1000172406 748886265 754674991
1000172668 605482159 760291753
1000174011 1380935213 1427821762
1000176912 1717409078 596051043
1000177106 1807934382 1437125105
1000177443 492306891 227653808
1000179149 1662820050 2009547602
100017987 508765189 1003410926
1000179928 1834528096 1593375463
1000181001 1329013187 1111555662
1000181340 1329013187 1945542660
1000181932 1807934382 1400181823
100018501 1397408430 1405486934
1000185938 1231609043 189626870
1000185959 1724116551 1771802022
1000186156 1242264039 970064216
1000186495 1834528096 1523117764
1000187012 489106386 27592434
1000190896 1390020420 1479557939
1000191700 492306891 1083801595
1000191891 1266359958 132450094
100019422 1242264039 1009955411
1000194571 748886265 970554427
100019785 1482134336 1427821762
1000199234 51475912 1060395727
1000205891 1807934382 506985877
1000206005 1717409078 1589308354
1000207422 1836883491 937531011
1000209203 1807934382 365684492
1000210044 1689813014 1405573786
100021051 1266359958 1466208520
1000210706 220645176 534699180
1000212754 719225004 1479557939
1000213147 1834528096 507536789
1000216879 1242264039 259200059
1000219397 953837881 1176015746
1000219410 1266359958 233722194
1000221123 220645176 172328782
1000221466 1222142432 2009547602
1000224654 719225004 736639923
1000226251 61197209 970554427
1000227022 1513502347 677004469
1000228664 565257480 211815853
1000228718 648300748 1479557939
1000229409 1606851054 650850574
1000229952 1513502347 1738205456
100023079 1397408430 1426033548
1000233722 762332187 736639923
1000234243 1834528096 1479557939
1000238743 1619063395 802519858
1000240643 1242264039 1427821762
1000240682 1416479967 534699180
1000241259 222128607 1482720587
1000243487 1962196947 1739056251
1000244272 220645176 893440497
1000245310 220645176 1479557939
1000247368 1397408430 1437125105
100024922 748886265 773196880
1000249558 1242264039 2124332529
1000249930 1606851054 1833922075
1000250160 1689813014 677004469
1000251806 1101107360 1967417949
1000253979 1962196947 1003410926
1000254315 1416479967 1176015746
1000254706 1329013187 1111555662
1000256733 748886265 1111555662
10002595 51475912 1437125105
100026118 1329013187 1009955411
1000262086 508765189 132450094
1000262771 508765189 1003410926
1000263217 1101107360 1427821762
1000264777 296106993 648711808
1000265116 1566751959 730294304
1000269491 61197209 365684492
1000269617 1266359958 2009547602
1000271631 1101107360 1111555662
100027658 492306891 1427821762
1000278529 1689813014 1490940601
1000278994 1890396111 1479557939
1000279255 1231609043 1593375463
1000282315 1943046654 1437125105
100028319 1378392855 483246962
1000285247 1231609043 1586001083
1000285736 1121467465 1663255064
1000287866 565257480 1014880320
1000287979 222128607 2056473166
1000288211 1482134336 1427821762
1000288510 1836883491 1739056251
1000288540 1416479967 1012915462
1000289638 220645176 1214827504
