v1 v2 v3
1409058393 1257673436 774214643
1574799083 1159977557 1705253349
146552616 1037754172 412400745
2137444545 934023045 1067603956
1583936231 971389728 1624650010
2136893143 259282066 1573612516
689443790 214335774 492075497
475104174 214335774 479053344
1131426753 248209738 2019996658
1131426753 248209738 2019996658
1565121135 1912291382 446905146
1969558903 248209738 2066993512
991112790 1002237642 864306104
1470746047 1257673436 1426228014
1737590741 150036672 485038327
1846736124 971389728 606956855
111060759 1403073439 51130761
947715978 9244212 2106525112
194547040 248209738 1954392975
1880148978 1625670082 1415225936
1880148978 1625670082 1415225936
441163192 173818747 850765133
694499876 1625670082 2076399183
650098438 1257673436 334813803
1259370789 1081820118 979953945
1770575597 1309473909 231907278
937143154 934023045 1430434201
1748465432 934023045 618897410
1292341471 1625670082 669484987
1476330 1403073439 1329399089
1339761230 259282066 1951224049
363195142 228644964 739880696
1167356232 1202782215 1965966914
2139783350 228644964 583957025
1320679249 1202782215 219668680
2123074821 934023045 1019709715
1380316699 964398707 2041581563
1679082056 1653081531 2039907409
1255064089 1081820118 564225238
867259296 2095263062 1934100863
297030186 770039431 1367888348
926834327 444357568 446616651
614211171 2102547811 2103443044
115672440 1926905372 1496443957
1996083968 2102547811 1074149303
310913321 1309473909 1718522113
342487429 2102547811 1034053857
342487429 2102547811 1034053857
1175571687 2095263062 1034053857
951389714 173818747 537582170
505223534 1202782215 2132148490
157805918 2102547811 1034053857
157805918 2102547811 1034053857
698665585 747627858 908111918
75113900 1081820118 1841886069
785522748 811105315 1717838800
432510348 1561475284 1034053857
432510348 1561475284 1034053857
1593320343 747627858 1934100863
980094358 1764240525 504307610
1450976058 1081820118 1034053857
1450976058 1081820118 1034053857
1043396252 770039431 1718522113
1043396252 770039431 1718522113
938193110 1926905372 1957255469
376470726 802092088 1835487478
256148513 2102547811 1649808593
161679364 1470664077 817817353
1347605824 1926905372 1009857713
1874969963 1764240525 1415225936
1643557044 811105315 1415225936
1643557044 811105315 1415225936
1054681166 1568116264 1415225936
29817393 228644964 1367888348
109053637 1119493116 2117871278
2024992235 1462526291 1927993939
1638613672 1386877007 1601380009
1766822705 811105315 1415225936
1766822705 811105315 1415225936
1344013445 2095263062 1957255469
1910898836 1926905372 1934100863
188394211 1653081531 2117871278
345963918 1470664077 599786965
728929291 2079057988 1810599250
1227190564 1653081531 908111918
1227190564 1653081531 908111918
2023312406 1309473909 2101806114
1414112197 469944468 908111918
614361838 1309473909 2117871278
1046087569 2102547811 1496443957
564321656 9244212 2111168252
564321656 9244212 2111168252
564321656 9244212 2111168252
342631717 964398707 1496443957
342631717 964398707 1496443957
156635536 469944468 1934100863
677082937 2079057988 1718522113
655142494 2102547811 1718522113
219799603 2079057988 2103443044
1381584282 770039431 1496443957
1572788014 971389728 2102814873
1540923492 2061848167 2117871278
359557846 444357568 986084489
1991405971 1081820118 1415225936
1052782621 1561475284 1516505249
912751240 1653081531 1034053857
1150878831 9244212 1034053857
1150878831 9244212 1034053857
1021728050 469944468 1415225936
1021728050 469944468 1415225936
221504617 9244212 1718522113
839427710 1462526291 949469817
839427710 1462526291 949469817
839427710 1462526291 949469817
1207610702 964398707 1496443957
1207610702 964398707 1496443957
1991273728 1561475284 1157026795
1789619032 1081820118 1009857713
1789619032 1081820118 1009857713
1223614391 964398707 1363629053
358001543 1625670082 1957255469
1506543253 934023045 831698804
853121322 1561475284 1415225936
655117389 469944468 2133504017
655117389 469944468 2133504017
2017040204 173818747 1009857713
